pre_path,post_path,mapping_status,mapping_source,site_section,page_group,content_group,page_type,page_name,xlsx_notes,pre_in_crawl,pre_word_count,pre_indexable,pre_title,pre_h1,pre_has_text,pre_has_source,pre_has_embedding,post_in_crawl,post_word_count,post_indexable,post_title,post_h1,post_has_text,post_has_source,post_has_embedding
/articles/how-to-haggle-like-an-egyptian,/articles/how-to-haggle-like-an-egyptian,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,How to Haggle Like an Egyptian | AMA Travel,How to Haggle Like an Egyptian,TRUE,TRUE,TRUE,TRUE,1663,Indexable,How to Haggle Like an Egyptian,How to Haggle Like an Egyptian,TRUE,TRUE,TRUE
/articles/make-your-travel-bucket-list,/articles/make-your-travel-bucket-list,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,How to Make Your Travel Bucket List | AMA Travel,How to Make Your Travel Bucket List,TRUE,TRUE,TRUE,TRUE,1593,Indexable,How to Make Your Travel Bucket List,How to Make Your Travel Bucket List,TRUE,TRUE,TRUE
/cruises/expedition/hurtigruten,/cruises/hx-expeditions,CHANGED,XLSX,Cruises,Cruises,Cruises,Supplier,NA,"This already redirects to /hx, but noting here to prevent redirect chains",TRUE,,Indexable,Hurtigruten Expeditions | AMA Travel,Hurtigruten Expeditions,TRUE,TRUE,FALSE,TRUE,1737,Indexable,Book HX Expeditions with AMA Travel,HX Expeditions,TRUE,TRUE,TRUE
/vacation-destinations/europe/iceland,/destinations/iceland,CHANGED,XLSX,Destinations,Destinations,Destinations,Individual Destination,Iceland,,TRUE,,Indexable,"Iceland Reykjavik Vacations - Hotels, Flights & Things to do | AMA Travel",Iceland,TRUE,TRUE,TRUE,TRUE,4165,Indexable,Iceland,Iceland,TRUE,TRUE,TRUE
/articles/id-requirements-for-canadians-travelling-abroad,/articles/id-requirements-for-canadians-travelling-abroad,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,ID Requirements for Canadians Travelling Abroad | AMA Travel,ID Requirements for Canadians Travelling Abroad,TRUE,TRUE,TRUE,TRUE,863,Indexable,ID Requirements for Canadians Travelling Abroad,ID Requirements for Canadians Travelling Abroad,TRUE,TRUE,TRUE
/vacation-packages/travel-styles/coach-bus-tours/insight/luxury-gold,/vacation-packages/luxury-gold,MERGED,XLSX,Vacation Packages,Tour Supplier,Vacation Packages,Supplier,Tour Supplier (Luxury Gold),MERGED TOGETHER,TRUE,,Indexable,Insight Coach Vacations - Luxury Gold Standard l AMA Travel,The Luxury Gold Difference,TRUE,TRUE,FALSE,TRUE,1381,Indexable,Luxury Gold Vacations | Guided Luxury Gold Tours & Travel,Luxury Gold Vacations,TRUE,TRUE,TRUE
/vacation-packages/travel-styles/coach-bus-tours/insight,/vacation-packages/insight,CHANGED,XLSX,Vacation Packages,Tour Supplier,Vacation Packages,Supplier,Tour Supplier (Insight),,TRUE,,Indexable,Insight Vacations - Luxury Coach Tours | AMA Travel,The Insight Difference,TRUE,TRUE,TRUE,TRUE,1966,Indexable,AMA Travel Website,Insight Vacations®,TRUE,TRUE,TRUE
/articles/jamaica-summer-festivals,/articles/jamaica-summer-festivals,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Jamaica’s Best Summer Festivals | AMA Travel,Jamaica’s Best Summer Festivals,TRUE,TRUE,TRUE,TRUE,1240,Indexable,Jamaica’s Best Summer Festivals,Jamaica’s Best Summer Festivals,TRUE,TRUE,TRUE
/articles/delicious-jasper-food-tours,/articles/delicious-jasper-food-tours,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Jasper Food Tours | AMA Travel,Delicious Jasper Food Tours,TRUE,TRUE,TRUE,TRUE,2282,Indexable,Jasper Food Tours,Delicious Jasper Food Tours,TRUE,TRUE,TRUE
/articles/festivals-in-jasper,/articles/festivals-in-jasper,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Jasper Has Festival for Everyone in 2024 | AMA Travel,Jasper Has A Festival for Everyone in 2024,TRUE,TRUE,TRUE,TRUE,1546,Indexable,Jasper Has Festival for Everyone in 2024,Jasper Has A Festival for Everyone in 2024,TRUE,TRUE,TRUE
/articles/food-lovers-weekend-at-jasper-park-lodge,/articles/food-lovers-weekend-at-jasper-park-lodge,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Jasper Park Lodge’s “A Weekend With...” Series Is a Must | AMA Travel,The Food Lover’s All-Inclusive Weekend at Jasper Park Lodge,TRUE,TRUE,TRUE,TRUE,2763,Indexable,Jasper Park Lodge’s “A Weekend With...” Series Is a Must,The Food Lover’s All-Inclusive Weekend at Jasper Park Lodge,TRUE,TRUE,TRUE
/articles/jasper-winter-adventures,/articles/jasper-winter-adventures,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Jasper Winter Adventures off the Ski Hill | AMA Travel,Jasper Winter Adventures off the Ski Hill,TRUE,TRUE,TRUE,TRUE,1372,Indexable,Jasper Winter Adventures off the Ski Hill,Jasper Winter Adventures off the Ski Hill,TRUE,TRUE,TRUE
/articles/jaspers-dark-sky-festival,/articles/jaspers-dark-sky-festival,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Jasper’s Dark Sky Festival in 2023 | AMA Travel,What’s Happening for Jasper’s Dark Sky Festival in 2023,TRUE,TRUE,TRUE,TRUE,2536,Indexable,Jasper’s Dark Sky Festival in 2025,"What’s New for the 2025 Jasper Dark Sky Festival: Highlights, Tips & Why You Should Go",TRUE,TRUE,TRUE
/articles/must-visit-jasper-oldest-buildings,/articles/must-visit-jasper-oldest-buildings,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Jasper’s Oldest Buildings Tell a Story for the Ages | AMA Travel,Why You Must Visit Jasper’s Historic Buildings,TRUE,TRUE,TRUE,TRUE,2793,Indexable,Jasper’s Oldest Buildings Tell a Story for the Ages,Why You Must Visit Jasper’s Historic Buildings,TRUE,TRUE,TRUE
/articles/jasper-wet-wildlife-adventure-tours,/articles/jasper-wet-wildlife-adventure-tours,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Jasper’s Summer Water Adventures and Tours | AMA Travel,Jasper’s Wet & Wildlife Adventure Tours,TRUE,TRUE,TRUE,TRUE,2593,Indexable,Jasper’s Summer Water Adventures and Tours,Jasper’s Wet & Wildlife Adventure Tours,TRUE,TRUE,TRUE
/articles/waterfront-restaurants-accommodation-in-jasper,/articles/waterfront-restaurants-accommodation-in-jasper,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,Jasper's Amazing Waterfront Restaurants and Hotels | AMA Travel,Waterfront Restaurants and Accommodations in Jasper,TRUE,TRUE,TRUE,TRUE,2403,Indexable,Jasper's Amazing Waterfront Restaurants and Hotels,Waterfront Restaurants and Accommodations in Jasper,TRUE,TRUE,TRUE
/vacation-destinations/north-america/canada/british-columbia/kelowna,/destinations/kelowna,CHANGED,XLSX,Destinations,Destinations,Destinations,Individual Destination,Kelowna,,TRUE,,Indexable,Kelowna: one of Alberta’s favourite BC getaways | AMA Travel,,TRUE,TRUE,TRUE,TRUE,3889,Indexable,"Kelowna, British Columbia","Kelowna, British Columbia",TRUE,TRUE,TRUE
/vacation-packages/rocky-mountain-winter/lake-louise-ski-resort,/vacation-packages/rocky-mountain-winter/lake-louise-ski-resort,SAME,XLSX,Vacation Packages,Rocky Mountain - Seasons,Hotels,Supplier,Ski Resort Hotel Supplier (Lake Louise),,TRUE,,Indexable,"Lake Louise Ski Resort, Plus Card & Lift Tickets Discount | AMA Travel",Members Ski for Less at Lake Louise Ski Resort,TRUE,TRUE,TRUE,TRUE,1662,Indexable,AMA Travel Website,Lake Louise Ski Resort,TRUE,TRUE,FALSE
/vacation-destinations/north-america/canada/alberta/lake-louise,/destinations/lake-louise,CHANGED,XLSX,Destinations,Destinations,Destinations,Individual Destination,Lake Louise,,TRUE,,Indexable,"Lake Louise Vacation Rentals, Hotels & Things to Do | AMA Travel",Lake Louise Travel Guide,TRUE,TRUE,TRUE,TRUE,3740,Indexable,"Lake Louise, Alberta","Lake Louise, Alberta",TRUE,TRUE,TRUE
